class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,C1104,11,2,20,2454,3,148,773.6666666666666,6.730237421122841,20.190712263368525,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.03
L,C1104,12,1,98,1008,1,61,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1104,13,2,104,2496,4,145,582.75,3.231108746868413,12.924434987473653,14.800514800514799,0.0,0.0,9.867009867009868,0.04,0.02040816326530612,0.02
L,C1104,14,1,23,1098,3,67,327.3333333333333,1.929889458371399,5.789668375114197,0.0,0.0,0.0,0.0,0.08,0.061224489795918366,0.03
L,C1104,15,2,24,1566,1,95,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1104,16,1,204,3736,4,209,763.25,5.231776420754573,20.927105683018294,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.04
L,C1104,17,2,383,3961,4,208,824.0,1.601212395810066,6.404849583240264,33.33333333333333,100.0,0.0,22.22222222222222,0.04,0.04081632653061224,0.02
L,C1104,18,1,316,4286,5,239,790.6,2.2838397428248927,11.419198714124462,65.22894004553504,33.08124878805507,99.74791545472175,33.066658234252465,0.04,0.04081632653061224,0.03
L,C1104,19,2,185,2418,1,136,2335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1104,2,1,170,6034,7,349,765.1428571428571,4.065141636908831,28.455991458361815,29.216455065969626,0.0,67.14772606241347,12.591797361214837,0.12,0.08163265306122448,0.04
L,C1104,20,1,55,1570,3,95,482.6666666666667,8.109054165795797,24.32716249738739,0.0,0.0,0.0,0.0,0.08,0.061224489795918366,0.02
L,C1104,21,2,154,1845,1,103,1833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1104,22,1,19,2064,2,124,998.5,1.489060812762685,2.97812162552537,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.02
L,C1104,23,2,24,1518,3,92,466.0,6.200282836979206,18.600848510937617,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.03
L,C1104,3,2,220,5872,3,330,1910.6666666666667,8.296825560171436,24.89047668051431,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,C1104,4,1,255,1709,2,89,825.5,0.4838498274327419,0.9676996548654838,100.0,0.0,100.0,100.0,0.04,0.02040816326530612,0.02
L,C1104,5,2,204,4244,3,244,1334.0,5.695300778506836,17.085902335520508,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,C1104,6,1,208,3839,3,211,1198.6666666666667,1.8820480371231858,5.646144111369558,42.978309232480534,0.0,100.0,21.489154616240267,0.04,0.04081632653061224,0.03
